Taxa	Coverage-Of-All-Bams	"Bams(A list of bams of the taxon, seperated by the delimiter of Tab)"
TW0085	11.144	/data3/wgs/bam/ABD/TW0085.rmdup.bam
TW0086	11.581	/data3/wgs/bam/ABD/TW0086.rmdup.bam
TW0087	11.543	/data3/wgs/bam/ABD/TW0087.rmdup.bam
TW0088	11.366	/data3/wgs/bam/ABD/TW0088.rmdup.bam
TW0089	12.168	/data3/wgs/bam/ABD/TW0089.rmdup.bam
TW0090	11.129	/data3/wgs/bam/ABD/TW0090.rmdup.bam
TW0091	11.217	/data3/wgs/bam/ABD/TW0091.rmdup.bam
TW0092	11.142	/data3/wgs/bam/ABD/TW0092.rmdup.bam
TW0093	10.953	/data3/wgs/bam/ABD/TW0093.rmdup.bam
TW0094	11.3	/data3/wgs/bam/ABD/TW0094.rmdup.bam
TW0095	11.237	/data3/wgs/bam/ABD/TW0095.rmdup.bam
TW0096	12.262	/data3/wgs/bam/ABD/TW0096.rmdup.bam
TW0097	11.213	/data3/wgs/bam/ABD/TW0097.rmdup.bam
TW0098	11.267	/data3/wgs/bam/ABD/TW0098.rmdup.bam
TW0099	11.36	/data3/wgs/bam/ABD/TW0099.rmdup.bam
TW0100	10.928	/data3/wgs/bam/ABD/TW0100.rmdup.bam
TW0101	11.668	/data3/wgs/bam/ABD/TW0101.rmdup.bam
TW0102	11.816	/data3/wgs/bam/ABD/TW0102.rmdup.bam
TW0103	11.151	/data3/wgs/bam/ABD/TW0103.rmdup.bam
TW0104	10.982	/data3/wgs/bam/ABD/TW0104.rmdup.bam
TW0105	11.046	/data3/wgs/bam/ABD/TW0105.rmdup.bam
TW0106	11.252	/data3/wgs/bam/ABD/TW0106.rmdup.bam
TW0107	10.962	/data3/wgs/bam/ABD/TW0107.rmdup.bam
TW0108	11.174	/data3/wgs/bam/ABD/TW0108.rmdup.bam
TW0109	11.08	/data3/wgs/bam/ABD/TW0109.rmdup.bam
TW0110	11.017	/data3/wgs/bam/ABD/TW0110.rmdup.bam
TW0111	11.165	/data3/wgs/bam/ABD/TW0111.rmdup.bam
TW0112	10.979	/data3/wgs/bam/ABD/TW0112.rmdup.bam
TW0113	11.763	/data3/wgs/bam/ABD/TW0113.rmdup.bam
TW0114	12.023	/data3/wgs/bam/ABD/TW0114.rmdup.bam
TW0115	10.945	/data3/wgs/bam/ABD/TW0115.rmdup.bam
TW0116	12.547	/data3/wgs/bam/ABD/TW0116.rmdup.bam
TW0117	11.335	/data3/wgs/bam/ABD/TW0117.rmdup.bam
TW0118	12.013	/data3/wgs/bam/ABD/TW0118.rmdup.bam
TW0119	12.476	/data3/wgs/bam/ABD/TW0119.rmdup.bam
TW0120	12.195	/data3/wgs/bam/ABD/TW0120.rmdup.bam
TW0121	11.79	/data3/wgs/bam/ABD/TW0121.rmdup.bam
TW0122	11.172	/data3/wgs/bam/ABD/TW0122.rmdup.bam
TW0123	12.642	/data3/wgs/bam/ABD/TW0123.rmdup.bam
TW0124	12.358	/data3/wgs/bam/ABD/TW0124.rmdup.bam
TW0125	11.078	/data3/wgs/bam/ABD/TW0125.rmdup.bam
TW0126	11.489	/data3/wgs/bam/ABD/TW0126.rmdup.bam
TW0127	11.563	/data3/wgs/bam/ABD/TW0127.rmdup.bam
TW0128	11.552	/data3/wgs/bam/ABD/TW0128.rmdup.bam
TW0129	12.677	/data3/wgs/bam/ABD/TW0129.rmdup.bam
TW0130	11.445	/data3/wgs/bam/ABD/TW0130.rmdup.bam
TW0131	12.072	/data3/wgs/bam/ABD/TW0131.rmdup.bam
TW0132	12.588	/data3/wgs/bam/ABD/TW0132.rmdup.bam
TW0133	12.777	/data3/wgs/bam/ABD/TW0133.rmdup.bam
TW0134	11.476	/data3/wgs/bam/ABD/TW0134.rmdup.bam
TW0135	12.751	/data3/wgs/bam/ABD/TW0135.rmdup.bam
TW0136	13.112	/data3/wgs/bam/ABD/TW0136.rmdup.bam
TW0137	12.524	/data3/wgs/bam/ABD/TW0137.rmdup.bam
TW0138	12.071	/data3/wgs/bam/ABD/TW0138.rmdup.bam
TW0139	12.387	/data3/wgs/bam/ABD/TW0139.rmdup.bam
TW0140	11.211	/data3/wgs/bam/ABD/TW0140.rmdup.bam
TW0141	11.549	/data3/wgs/bam/ABD/TW0141.rmdup.bam
TW0142	12.203	/data3/wgs/bam/ABD/TW0142.rmdup.bam
TW0143	11.445	/data3/wgs/bam/ABD/TW0143.rmdup.bam
TW0144	11.199	/data3/wgs/bam/ABD/TW0144.rmdup.bam
TW0145	11.165	/data3/wgs/bam/ABD/TW0145.rmdup.bam
TW0146	11.273	/data3/wgs/bam/ABD/TW0146.rmdup.bam
TW0147	12.004	/data3/wgs/bam/ABD/TW0147.rmdup.bam
TW0148	11.534	/data3/wgs/bam/ABD/TW0148.rmdup.bam
TW0149	11.985	/data3/wgs/bam/ABD/TW0149.rmdup.bam
TW0150	11.651	/data3/wgs/bam/ABD/TW0150.rmdup.bam
TW0151	11.248	/data3/wgs/bam/ABD/TW0151.rmdup.bam
TW0152	11.746	/data3/wgs/bam/ABD/TW0152.rmdup.bam
TW0153	12.217	/data3/wgs/bam/ABD/TW0153.rmdup.bam
TW0154	11.014	/data3/wgs/bam/ABD/TW0154.rmdup.bam
TW0155	10.968	/data3/wgs/bam/ABD/TW0155.rmdup.bam
TW0156	12.784	/data3/wgs/bam/ABD/TW0156.rmdup.bam
TW0157	12.658	/data3/wgs/bam/ABD/TW0157.rmdup.bam
TW0158	12.517	/data3/wgs/bam/ABD/TW0158.rmdup.bam
TW0159	11.953	/data3/wgs/bam/ABD/TW0159.rmdup.bam
TW0160	10.948	/data3/wgs/bam/ABD/TW0160.rmdup.bam
TW0161	11.174	/data3/wgs/bam/ABD/TW0161.rmdup.bam
TW0162	11.423	/data3/wgs/bam/ABD/TW0162.rmdup.bam
TW0163	11.565	/data3/wgs/bam/ABD/TW0163.rmdup.bam
TW0164	12.835	/data3/wgs/bam/ABD/TW0164.rmdup.bam
TW0165	11.78	/data3/wgs/bam/ABD/TW0165.rmdup.bam
TW0166	10.951	/data3/wgs/bam/ABD/TW0166.rmdup.bam
TW0167	11.401	/data3/wgs/bam/ABD/TW0167.rmdup.bam
TW0168	12.692	/data3/wgs/bam/ABD/TW0168.rmdup.bam
TW0169	12.379	/data3/wgs/bam/ABD/TW0169.rmdup.bam
TW0170	10.952	/data3/wgs/bam/ABD/TW0170.rmdup.bam
TW0171	12.504	/data3/wgs/bam/ABD/TW0171.rmdup.bam
TW0172	12.086	/data3/wgs/bam/ABD/TW0172.rmdup.bam
TW0173	11.193	/data3/wgs/bam/ABD/TW0173.rmdup.bam
TW0174	11.281	/data3/wgs/bam/ABD/TW0174.rmdup.bam
TW0175	11.157	/data3/wgs/bam/ABD/TW0175.rmdup.bam
TW0176	11.945	/data3/wgs/bam/ABD/TW0176.rmdup.bam
TW0177	11.679	/data3/wgs/bam/ABD/TW0177.rmdup.bam
TW0178	12.095	/data3/wgs/bam/ABD/TW0178.rmdup.bam
TW0179	11.861	/data3/wgs/bam/ABD/TW0179.rmdup.bam
TW0180	12.285	/data3/wgs/bam/ABD/TW0180.rmdup.bam
TW0181	12.086	/data3/wgs/bam/ABD/TW0181.rmdup.bam
TW0182	11.445	/data3/wgs/bam/ABD/TW0182.rmdup.bam
TW0183	11.796	/data3/wgs/bam/ABD/TW0183.rmdup.bam
TW0184	11.775	/data3/wgs/bam/ABD/TW0184.rmdup.bam
TW0185	11.696	/data3/wgs/bam/ABD/TW0185.rmdup.bam
TW0186	11.052	/data3/wgs/bam/ABD/TW0186.rmdup.bam
TW0187	11.571	/data3/wgs/bam/ABD/TW0187.rmdup.bam
TW0188	12.041	/data3/wgs/bam/ABD/TW0188.rmdup.bam
TW0189	12.24	/data3/wgs/bam/ABD/TW0189.rmdup.bam
TW0190	12.383	/data3/wgs/bam/ABD/TW0190.rmdup.bam
TW0191	11.363	/data3/wgs/bam/ABD/TW0191.rmdup.bam
TW0192	11.108	/data3/wgs/bam/ABD/TW0192.rmdup.bam
TW0193	12.15	/data3/wgs/bam/ABD/TW0193.rmdup.bam
TW0194	12.01	/data3/wgs/bam/ABD/TW0194.rmdup.bam
TW0195	11.931	/data3/wgs/bam/ABD/TW0195.rmdup.bam
TW0196	11.829	/data3/wgs/bam/ABD/TW0196.rmdup.bam
TW0197	11.865	/data3/wgs/bam/ABD/TW0197.rmdup.bam
TW0198	11.626	/data3/wgs/bam/ABD/TW0198.rmdup.bam
TW0199	11.839	/data3/wgs/bam/ABD/TW0199.rmdup.bam
TW0200	11.599	/data3/wgs/bam/ABD/TW0200.rmdup.bam
TW0201	12.18	/data3/wgs/bam/ABD/TW0201.rmdup.bam
TW0202	11.772	/data3/wgs/bam/ABD/TW0202.rmdup.bam
TW0203	11.619	/data3/wgs/bam/ABD/TW0203.rmdup.bam
TW0204	11.347	/data3/wgs/bam/ABD/TW0204.rmdup.bam
TW0205	13.628	/data3/wgs/bam/ABD/TW0205.rmdup.bam
TW0206	12.54	/data3/wgs/bam/ABD/TW0206.rmdup.bam
TW0207	11.273	/data3/wgs/bam/ABD/TW0207.rmdup.bam
TW0208	12.463	/data3/wgs/bam/ABD/TW0208.rmdup.bam
TW0209	11.225	/data3/wgs/bam/ABD/TW0209.rmdup.bam
TW0210	11.433	/data3/wgs/bam/ABD/TW0210.rmdup.bam
TW0211	11.296	/data3/wgs/bam/ABD/TW0211.rmdup.bam
TW0212	11.18	/data3/wgs/bam/ABD/TW0212.rmdup.bam
TW0213	12.224	/data3/wgs/bam/ABD/TW0213.rmdup.bam
TW0214	12.291	/data3/wgs/bam/ABD/TW0214.rmdup.bam
TW0215	12.821	/data3/wgs/bam/ABD/TW0215.rmdup.bam
TW0216	12.211	/data3/wgs/bam/ABD/TW0216.rmdup.bam
TW0217	11.919	/data3/wgs/bam/ABD/TW0217.rmdup.bam
TW0218	11.67	/data3/wgs/bam/ABD/TW0218.rmdup.bam
TW0219	13.598	/data3/wgs/bam/ABD/TW0219.rmdup.bam
TW0220	13.333	/data3/wgs/bam/ABD/TW0220.rmdup.bam
TW0221	11.829	/data3/wgs/bam/ABD/TW0221.rmdup.bam
TW0222	11.593	/data3/wgs/bam/ABD/TW0222.rmdup.bam
TW0223	12.144	/data3/wgs/bam/ABD/TW0223.rmdup.bam
TW0224	11.625	/data3/wgs/bam/ABD/TW0224.rmdup.bam
TW0225	12.571	/data3/wgs/bam/ABD/TW0225.rmdup.bam
TW0226	11.88	/data3/wgs/bam/ABD/TW0226.rmdup.bam
TW0227	12.101	/data3/wgs/bam/ABD/TW0227.rmdup.bam
TW0228	11.903	/data3/wgs/bam/ABD/TW0228.rmdup.bam
TW0229	12.529	/data3/wgs/bam/ABD/TW0229.rmdup.bam
TW0230	12.492	/data3/wgs/bam/ABD/TW0230.rmdup.bam
TW0231	12.747	/data3/wgs/bam/ABD/TW0231.rmdup.bam
TW0232	12.217	/data3/wgs/bam/ABD/TW0232.rmdup.bam
TW0233	12.592	/data3/wgs/bam/ABD/TW0233.rmdup.bam
TW0234	12.181	/data3/wgs/bam/ABD/TW0234.rmdup.bam
TW0235	11.0	/data3/wgs/bam/ABD/TW0235.rmdup.bam
TW0236	11.265	/data3/wgs/bam/ABD/TW0236.rmdup.bam
TW0237	12.178	/data3/wgs/bam/ABD/TW0237.rmdup.bam
TW0238	12.145	/data3/wgs/bam/ABD/TW0238.rmdup.bam
TW0239	11.745	/data3/wgs/bam/ABD/TW0239.rmdup.bam
TW0240	12.458	/data3/wgs/bam/ABD/TW0240.rmdup.bam
TW0241	11.478	/data3/wgs/bam/ABD/TW0241.rmdup.bam
TW0242	11.196	/data3/wgs/bam/ABD/TW0242.rmdup.bam
TW0243	11.726	/data3/wgs/bam/ABD/TW0243.rmdup.bam
TW0244	12.563	/data3/wgs/bam/ABD/TW0244.rmdup.bam
TW0245	12.366	/data3/wgs/bam/ABD/TW0245.rmdup.bam
TW0246	12.412	/data3/wgs/bam/ABD/TW0246.rmdup.bam
TW0247	12.282	/data3/wgs/bam/ABD/TW0247.rmdup.bam
TW0248	11.832	/data3/wgs/bam/ABD/TW0248.rmdup.bam
TW0249	12.108	/data3/wgs/bam/ABD/TW0249.rmdup.bam
TW0250	11.409	/data3/wgs/bam/ABD/TW0250.rmdup.bam
TW0251	11.952	/data3/wgs/bam/ABD/TW0251.rmdup.bam
TW0252	11.22	/data3/wgs/bam/ABD/TW0252.rmdup.bam
TW0253	13.078	/data3/wgs/bam/ABD/TW0253.rmdup.bam
TW0254	12.928	/data3/wgs/bam/ABD/TW0254.rmdup.bam
TW0255	13.087	/data3/wgs/bam/ABD/TW0255.rmdup.bam
TW0256	12.894	/data3/wgs/bam/ABD/TW0256.rmdup.bam
TW0257	11.162	/data3/wgs/bam/ABD/TW0257.rmdup.bam
TW0258	12.985	/data3/wgs/bam/ABD/TW0258.rmdup.bam
TW0259	11.99	/data3/wgs/bam/ABD/TW0259.rmdup.bam
TW0260	11.085	/data3/wgs/bam/ABD/TW0260.rmdup.bam
TW0261	11.199	/data3/wgs/bam/ABD/TW0261.rmdup.bam
TW0262	11.406	/data3/wgs/bam/ABD/TW0262.rmdup.bam
TW0263	12.223	/data3/wgs/bam/ABD/TW0263.rmdup.bam
TW0264	12.143	/data3/wgs/bam/ABD/TW0264.rmdup.bam
TW0265	12.227	/data3/wgs/bam/ABD/TW0265.rmdup.bam
TW0266	11.707	/data3/wgs/bam/ABD/TW0266.rmdup.bam
TW0267	11.875	/data3/wgs/bam/ABD/TW0267.rmdup.bam
TW0268	11.942	/data3/wgs/bam/ABD/TW0268.rmdup.bam
TW0269	12.605	/data3/wgs/bam/ABD/TW0269.rmdup.bam
TW0270	12.569	/data3/wgs/bam/ABD/TW0270.rmdup.bam
TW0271	12.084	/data3/wgs/bam/ABD/TW0271.rmdup.bam
TW0272	12.283	/data3/wgs/bam/ABD/TW0272.rmdup.bam
TW0273	12.176	/data3/wgs/bam/ABD/TW0273.rmdup.bam
TW0274	12.018	/data3/wgs/bam/ABD/TW0274.rmdup.bam
TW0275	12.282	/data3/wgs/bam/ABD/TW0275.rmdup.bam
TW0276	11.973	/data3/wgs/bam/ABD/TW0276.rmdup.bam
TW0277	11.696	/data3/wgs/bam/ABD/TW0277.rmdup.bam
TW0278	11.433	/data3/wgs/bam/ABD/TW0278.rmdup.bam
TW0279	11.57	/data3/wgs/bam/ABD/TW0279.rmdup.bam
TW0280	11.323	/data3/wgs/bam/ABD/TW0280.rmdup.bam
TW0281	11.938	/data3/wgs/bam/ABD/TW0281.rmdup.bam
TW0282	12.001	/data3/wgs/bam/ABD/TW0282.rmdup.bam
TW0283	11.548	/data3/wgs/bam/ABD/TW0283.rmdup.bam
TW0284	11.123	/data3/wgs/bam/ABD/TW0284.rmdup.bam
